Open Mic,Day,Start Time,Latest End Time,Venue Name,Borough,Neighborhood,Location,Venue type,Cost,Stage time,Sign-Up Instructions,Host(s) / Organizer,Changes/updates,Last verified,This Month's Changes ,Other Rules,Help other comics! Leave reviews,unique identifier,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source
Comedy Shop,Monday,4:00 PM,6:00 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,,,,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Monday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$5 cash,6,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,,,,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Tuesday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,,,Tuesday-4:00 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Tuesday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,5,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,,,Tuesday-6:00 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Wednesday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,5,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,Comedy Shop,@thecomedyshopvillage,Verified 8/7 SMS,,,,Wednesday-4:00 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Wednesday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,5,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,Alexis Ramirez @asapangry_,@thecomedyshopvillage,Verified 8/7 SMS,,,,Wednesday-6:00 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Thursday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,5,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,show up first go up first depending on the host,,Thursday-4:00 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Thursday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,5,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,show up first go up first depending on the host,,Thursday-6:00 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop Mic,Friday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,,,Comedy_Shop_Friday_400_PM_21,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Friday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,5,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,Alexis Ramirez,@asapangry_,Verified 8/7 SMS,,,,Comedy_Shop_Friday_600_PM_22,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Saturday,2:00 PM,3:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,,,Saturday-2:00 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Saturday,4:00 PM,5:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified 8/7 SMS,,,,Saturday-4:00 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
Greenwich village comedy club,Sunday,3:00 PM,4:45 PM,Greenwich Village Comedy Club,Manhattan ,Greenwich Village,"99 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,Email DrewAndPetermic@gmail.com ,Drew Tessier,@comedybydrew,Verified 8/7 SMS,,show up first go up first depending on the host,,Sunday-3:00 PM-@comedybydrew,40.729604,-74.000966,1,rooftop,99 Mac Dougal St,,"New York, NY 10012",99,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Greenwich village comedy club,Monday,3:00 PM,4:45 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,DrewTessier.com,Robert Johnson,@comedybydrew,Verified 8/7 SMS,,,,,40.729604,-74.000966,1,rooftop,99 Mac Dougal St,,"New York, NY 10012",99,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Steve arons tuesday mic,Tuesday,5:15 PM,6:30 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,Show up go up (sugu),Steve Arons,Steve Arons Facebook,Verified 8/7 SMS,,,,Tuesday-5:15 PM-Steve Arons Facebook,40.729604,-74.000966,1,rooftop,99 Mac Dougal St,,"New York, NY 10012",99,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Greenwich Village CC,Wednesday,3:00 PM,4:45 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,Email DrewAndPetermic@gmail.com,Drew Tessier,@comedybydrew,Verified 8/7 SMS,,,,Wednesday-3:00 PM-@comedybydrew,40.729604,-74.000966,1,rooftop,99 Mac Dougal St,,"New York, NY 10012",99,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Greenwich village comedy club,Wednesday,5:00 PM,6:45 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,DrewTessier.com,Drew Tessier,@comedybydrew,Verified 8/7 SMS,,,,Wednesday-5:00 PM-@comedybydrew,40.729604,-74.000966,1,rooftop,99 Mac Dougal St,,"New York, NY 10012",99,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Greenwich Village CC,Friday,1:00 PM,3:00 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,Email DrewAndPetermic@gmail.com,Drew Tessier,@comedybydrew,Verified 8/7 SMS,,,,Greenwich_Village_Comedy_Club_Friday_100_PM_30,40.729604,-74.000966,1,rooftop,99 Mac Dougal St,,"New York, NY 10012",99,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Greenwich Village CC,Friday,3:00 PM,4:30 PM,Greenwich Village Comedy Club,Manhattan,Greenwich Village,"99 Macdougal St, New York, NY 10012",Comedy Club,$5 ,5,Email DrewAndPetermic@gmail.com,Drew Tessier,@comedybydrew,Verified 8/7 SMS,,,,Greenwich_Village_Comedy_Club_Friday_300_PM_31,40.729604,-74.000966,1,rooftop,99 Mac Dougal St,,"New York, NY 10012",99,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
All American,Sunday,3:00 PM,4:00 PM,Pinebox,Brooklyn,East Williamsburg,"12 Grattan St, Brooklyn, NY 11206",Bar,Drink,5,sign up in person list / @allamericancomedy ,NatalieLin,@allamericancomedy,Verified 8/7 SMS,,,,Sunday-3:00 PM-@allamericancomedy,40.7054,-73.932706,1,rooftop,12 Grattan St,,"Brooklyn, NY 11206",12,Grattan St,,,Brooklyn,NY,Kings County,11206,US,City of New York
UWS NYCC LaughingBuddha Mic,Sunday,3:00 PM,4:30 PM,Uws Ny Comedy Club,Manhattan ,UWS,"243 W 54th St, New York, NY 10019",Comedy Club,$7 ,,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 8/7 SMS,,,,Sunday-3:00 PM-@laughingbuddhacomedy,40.764498,-73.983298,1,rooftop,243 W 54th St,,"New York, NY 10019",243,W 54th St,,,New York,NY,New York County,10019,US,City of New York
Midtown Pear LaughingBuddha Mic,Sunday,4:00 PM,5:30 PM,Grisly Pear Midtown,Manhattan ,Hell's Kitchen,"243 W 54th St, New York, NY 10019",Comedy Club,$7 ,,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 8/7 SMS,,,,Sunday-4:00 PM-@laughingbuddhacomedy,40.764498,-73.983298,1,rooftop,243 W 54th St,,"New York, NY 10019",243,W 54th St,,,New York,NY,New York County,10019,US,City of New York
The Grisly Pear Mic-a-thon,Tuesday,8:00 PM,9:30 PM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",Comedy Club,$7 ,,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 8/7 SMS,,,,Tuesday-8:00 PM-@laughingbuddhacomedy,40.764498,-73.983298,1,rooftop,243 W 54th St,,"New York, NY 10019",243,W 54th St,,,New York,NY,New York County,10019,US,City of New York
2 eli's late mic,Tuesday,10:00 PM,12:15 AM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",Comedy Club,$8 ,5,https://www.laughingbuddhacomedy.com/mics,Eli Maroney & Eli #2,@eli.maroney,Verified 8/7 SMS,,,,Tuesday-10:00 PM-@eli.maroney,40.764498,-73.983298,1,rooftop,243 W 54th St,,"New York, NY 10019",243,W 54th St,,,New York,NY,New York County,10019,US,City of New York
The Grisly Pear Guest Spot Mic,Thursday,5:00 PM,6:30 PM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",Comedy Club,$6+ booking fee,,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 8/7 SMS,,show up first go up first depending on the host,,Thursday-5:00 PM-@laughingbuddhacomedy,40.764498,-73.983298,1,rooftop,243 W 54th St,,"New York, NY 10019",243,W 54th St,,,New York,NY,New York County,10019,US,City of New York
The Grisly Pear Mic,Friday,5:00 PM,6:30 PM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",Comedy Club,$6+ booking fee,,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 8/7 SMS,,,,Grisly_Pear_Midtown_Friday_500_PM_38,40.764498,-73.983298,1,rooftop,243 W 54th St,,"New York, NY 10019",243,W 54th St,,,New York,NY,New York County,10019,US,City of New York
The Grisly Pear Buddha Mic,Saturday,3:00 PM,4:30 PM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",Comedy Club,$6+ booking fee,,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 8/7 SMS,,,,Saturday-3:00 PM-@laughingbuddhacomedy,40.764498,-73.983298,1,rooftop,243 W 54th St,,"New York, NY 10019",243,W 54th St,,,New York,NY,New York County,10019,US,City of New York
The Grisly Pear Mic,Saturday,4:30 PM,6:30 PM,Grisly Pear Midtown,Manhattan,Midtown,"243 W 54th St, New York, NY 10019",Comedy Club,$6+ booking fee,,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 8/7 SMS,,,,Saturday-4:30 PM-@laughingbuddhacomedy,40.764498,-73.983298,1,rooftop,243 W 54th St,,"New York, NY 10019",243,W 54th St,,,New York,NY,New York County,10019,US,City of New York
How Ya Doin' Open Mic,Sunday,4:00 PM,5:00 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217",Comedy Club,Free + 1 item minimum,5,signup there 30 mins prior,Hunter Wright,@xhunterwrightx,Verified 8/7 SMS,,,,Sunday-4:00 PM-@xhunterwrightx,40.685869,-73.98165,1,rooftop,487 Atlantic Ave,,"Brooklyn, NY 11217",487,Atlantic Ave,,,Brooklyn,NY,Kings County,11217,US,City of New York
The Golden Pen,Sunday,5:00 PM,6:00 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217",Comedy Club,Free + 1 item minimum,5,signup there 30 mins prior,Vinnie Pedi,@vinnie_pedi,Verified 8/7 SMS,,,,Sunday-5:00 PM-@vinnie_pedi,40.685869,-73.98165,1,rooftop,487 Atlantic Ave,,"Brooklyn, NY 11217",487,Atlantic Ave,,,Brooklyn,NY,Kings County,11217,US,City of New York
No Name Mic,Sunday,6:00 PM,7:00 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217",Comedy Club,1 drink minimum ($10),5,sign up there,Ryan Walsh and Jimmy James,@rwalsh55,Verified 8/7 SMS,,,,Sunday-6:00 PM-@rwalsh55,40.685869,-73.98165,1,rooftop,487 Atlantic Ave,,"Brooklyn, NY 11217",487,Atlantic Ave,,,Brooklyn,NY,Kings County,11217,US,City of New York
Ethically Ambiguous,Monday,7:00 PM,8:30 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217",Comedy Club,Free,5,Sign up in person,,@ethicallyambiguousmic,Verified tediously 8/3 Malev,,,,,40.685869,-73.98165,1,rooftop,487 Atlantic Ave,,"Brooklyn, NY 11217",487,Atlantic Ave,,,Brooklyn,NY,Kings County,11217,US,City of New York
